사업체명,산업대분류,주소,상시근로자수,고용의무인원,장애인 근로자(2배수),장애인고용률(2배수)
(주)유니에스,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 강남구,10245,317,143,1.4
데상트코리아(주),(G)도매 및 소매업(45~47),서울특별시 송파구,617,19,0,0
(주)씨젠,(C)제조업(10~34),서울특별시 송파구,306,9,0,0
(주)약진통상,(C)제조업(10~34),서울특별시 송파구,435,13,1,0.23
강동성심병원,(Q)보건업 및 사회복지 서비스업(86~87),서울특별시 강동구,1143,35,3,0.26
(주)태우이엔지,(F)건설업(41~42),서울특별시 송파구,1033,32,3,0.29
건국대학교 산학협력단,(P)교육 서비스업(85),서울특별시 광진구,337,10,1,0.3
(주)텔레칩스,(C)제조업(10~34),서울특별시 송파구,324,10,1,0.31
주식회사우아한청년들,(G)도매 및 소매업(45~47),서울특별시 송파구,624,19,2,0.32
한양대학교 산학협력단,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 성동구,761,23,3,0.39
한국아이큐비아(주),"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 송파구,458,14,2,0.44
쌍용건설,(F)건설업(41~42),서울특별시 송파구,1688,52,8,0.47
주)신도리코,(C)제조업(10~34),서울특별시 성동구,714,22,4,0.56
현대에이치디에스(주),(J)정보통신업(58~63),서울특별시 송파구,339,10,2,0.59
신성통상(주),(C)제조업(10~34),서울특별시 강동구,799,24,5,0.63
신라교역(주),"(A)농업, 임업 및 어업(01~03)",서울특별시 송파구,617,19,4,0.65
관악산업주식회사,(F)건설업(41~42),서울특별시 송파구,580,17,4,0.69
네이버시스템(주),(J)정보통신업(58~63),서울특별시 송파구,416,12,3,0.72
여흥건설(주),(F)건설업(41~42),서울특별시 송파구,544,16,4,0.74
학교법인 한양학원,(L)부동산업(68),서울특별시 성동구,6644,205,54,0.81
(주)엠즈파트너스,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 강동구,492,15,4,0.81
강릉건설주식회사,(F)건설업(41~42),서울특별시 송파구,561,17,5,0.89
(주)엔젤스태프,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 광진구,1990,61,18,0.9
다올이앤씨(주),(F)건설업(41~42),서울특별시 강동구,632,19,6,0.95
예스코,"(D)전기, 가스, 증기 및 공기 조절 공급업(35)",서울특별시 성동구,315,9,3,0.95
(주)신한종합건축사사무소,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 송파구,301,9,3,1
경우전기(주),(F)건설업(41~42),서울특별시 광진구,384,11,4,1.04
학교법인 대양학원,(P)교육 서비스업(85),서울특별시 광진구,1256,38,17,1.35
수협은행,(K)금융 및 보험업(64~66),서울특별시 송파구,1883,58,27,1.43
(학)건국대학교,(L)부동산업(68),서울특별시 광진구,5025,155,73,1.45
(주)신원,(C)제조업(10~34),서울특별시 마포구,647,20,1,0.15
(주)금성출판사,(J)정보통신업(58~63),서울특별시 마포구,386,11,1,0.26
삼진제약(주),(C)제조업(10~34),서울특별시 마포구,707,21,2,0.28
(주)YG엔터테인먼트,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 마포구,344,10,1,0.29
(주)와이티엔,(J)정보통신업(58~63),서울특별시 마포구,656,20,2,0.3
(주)난다,(G)도매 및 소매업(45~47),서울특별시 마포구,601,18,2,0.33
라인프렌즈주식회사,(G)도매 및 소매업(45~47),서울특별시 용산구,302,9,1,0.33
(주)디에이치엘코리아,(H)운수 및 창고업(49~52),서울특별시 마포구,1361,42,5,0.37
희성전자(주),(C)제조업(10~34),서울특별시 용산구,502,15,2,0.4
한국에스지에스(주),"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 용산구,930,28,6,0.65
(주)미래휴넷시스템,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 용산구,366,11,3,0.82
(주)국보디자인,(F)건설업(41~42),서울특별시 마포구,344,10,3,0.87
에이치디씨현대산업개발(주),(F)건설업(41~42),서울특별시 용산구,1967,60,18,0.92
학교법인 홍익학원,(P)교육 서비스업(85),서울특별시 마포구,1408,43,13,0.92
한겨레신문(주),(J)정보통신업(58~63),서울특별시 마포구,534,16,5,0.94
(주)에프앤씨시스템,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 마포구,1162,36,11,0.95
(주)래딕스플러스,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 마포구,1025,31,10,0.98
(주)싸이버로지텍,(J)정보통신업(58~63),서울특별시 마포구,405,12,4,0.99
지오스탭로지스(주),"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",서울특별시 마포구,581,18,6,1.03
(주)로지시스,"(S)협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",서울특별시 마포구,477,14,5,1.05
(주)태준제약,(C)제조업(10~34),서울특별시 용산구,378,11,4,1.06
(주)글락소스미스클라인,(C)제조업(10~34),서울특별시 용산구,445,13,5,1.12
동부건설(주),(F)건설업(41~42),서울특별시 용산구,1497,46,18,1.2
대한해운(주),(H)운수 및 창고업(49~52),서울특별시 강서구,413,12,0,0
양우건설(주),(F)건설업(41~42),서울특별시 영등포구,359,11,0,0
한국요꼬가와전기(주),(C)제조업(10~34),서울특별시 영등포구,351,10,0,0
(주)창조종합건축사사무소,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 영등포구,309,9,0,0
(주)진에어,(H)운수 및 창고업(49~52),서울특별시 강서구,1875,58,1,0.05
코오롱생명과학(주),(G)도매 및 소매업(45~47),서울특별시 강서구,479,14,1,0.21
한세실업주식회사,(C)제조업(10~34),서울특별시 영등포구,651,20,2,0.31
다사마케팅(주),(J)정보통신업(58~63),서울특별시 영등포구,313,9,1,0.32
태경산업(주),(L)부동산업(68),서울특별시 강서구,311,9,1,0.32
이베스트투자증권(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,501,15,2,0.4
(주)동양,(C)제조업(10~34),서울특별시 영등포구,459,14,2,0.44
(주)리드코프,(K)금융 및 보험업(64~66),서울특별시 영등포구,407,12,2,0.49
(의료법인)성애병원,(Q)보건업 및 사회복지 서비스업(86~87),서울특별시 영등포구,593,18,3,0.51
(학)일송학원,(Q)보건업 및 사회복지 서비스업(86~87),서울특별시 영등포구,6548,202,35,0.53
교보증권(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,923,28,5,0.54
한국노바티스(주),(G)도매 및 소매업(45~47),서울특별시 영등포구,552,17,3,0.54
에이아이지손해보험주식회사,(K)금융 및 보험업(64~66),서울특별시 영등포구,373,11,2,0.54
KB생명보험(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,319,9,2,0.63
(주)콤텍시스템,(J)정보통신업(58~63),서울특별시 영등포구,457,14,3,0.66
미래에셋생명보험(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,1050,32,7,0.67
(주)팜한농,(C)제조업(10~34),서울특별시 영등포구,1026,31,7,0.68
에이비엘생명보험,(K)금융 및 보험업(64~66),서울특별시 영등포구,872,27,6,0.69
유나이티드파슬서비스코리아 주식회사,(H)운수 및 창고업(49~52),서울특별시 영등포구,397,12,3,0.76
(주)대한항공,(H)운수 및 창고업(49~52),서울특별시 강서구,19203,595,147,0.77
한국발전기술주식회사,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 영등포구,717,22,6,0.84
(주)케이티에스물류,(H)운수 및 창고업(49~52),서울특별시 강서구,340,10,3,0.88
코나아이(주),(J)정보통신업(58~63),서울특별시 영등포구,340,10,3,0.88
예스이십사(주),(G)도매 및 소매업(45~47),서울특별시 영등포구,520,16,5,0.96
한국증권금융(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,407,12,4,0.98
한진정보통신주식회사,(J)정보통신업(58~63),서울특별시 강서구,392,12,4,1.02
(주)에스비에스에이앤티,(J)정보통신업(58~63),서울특별시 양천구,483,14,5,1.04
케이티비투자증권(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,385,11,4,1.04
신영증권(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,648,20,7,1.08
에이치씨에이에스주식회사,(G)도매 및 소매업(45~47),서울특별시 영등포구,823,25,9,1.09
코오롱인더스트리(주),(C)제조업(10~34),서울특별시 강서구,3934,121,44,1.12
세원셀론텍(주),(C)제조업(10~34),서울특별시 영등포구,354,10,4,1.13
티센크루프엘리베이터,(C)제조업(10~34),서울특별시 양천구,1312,40,15,1.14
(재단법인)FITI시험연구원,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 강서구,559,17,7,1.25
한국플랜트서비스(주),"(D)전기, 가스, 증기 및 공기 조절 공급업(35)",서울특별시 영등포구,522,16,7,1.34
(주)컴투스,(J)정보통신업(58~63),서울특별시 금천구,913,28,2,0.22
부광약품(주),(C)제조업(10~34),서울특별시 동작구,632,19,2,0.32
주식회사그린웹서비스,(J)정보통신업(58~63),서울특별시 금천구,592,18,2,0.34
국도화학(주),(C)제조업(10~34),서울특별시 금천구,540,16,2,0.37
(주)한성크린텍,(F)건설업(41~42),서울특별시 구로구,533,16,2,0.38
(주)오르비텍,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 금천구,507,15,2,0.39
(주)대교,(P)교육 서비스업(85),서울특별시 관악구,2382,73,11,0.46
(주)대성엘텍,(C)제조업(10~34),서울특별시 금천구,373,11,2,0.54
한국야금(주),(C)제조업(10~34),서울특별시 금천구,629,19,4,0.64
(주)천재교육,(J)정보통신업(58~63),서울특별시 금천구,469,14,3,0.64
(주)우림에프엠지,(G)도매 및 소매업(45~47),서울특별시 동작구,868,26,7,0.81
세목반도체(주),(C)제조업(10~34),서울특별시 금천구,352,10,3,0.85
의료법인희명의료재단,(Q)보건업 및 사회복지 서비스업(86~87),서울특별시 금천구,351,10,3,0.85
바이엘코리아(주),(C)제조업(10~34),서울특별시 동작구,567,17,5,0.88
(주)유풍,(C)제조업(10~34),서울특별시 구로구,319,9,3,0.94
대성산업가스(주),(C)제조업(10~34),서울특별시 구로구,592,18,6,1.01
(주)메가마트,(G)도매 및 소매업(45~47),서울특별시 동작구,1363,42,14,1.03
(사)대한산업안전협회,"(S)협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",서울특별시 구로구,1077,33,14,1.3
(주)한양,(F)건설업(41~42),인천광역시 남동구,713,22,1,0.14
인하대학교산학협력단,(P)교육 서비스업(85),인천광역시 남구,605,18,3,0.5
(주)에이스테크놀로지,(C)제조업(10~34),인천광역시 연수구,386,11,2,0.52
의료법인 이원의료재단,(Q)보건업 및 사회복지 서비스업(86~87),인천광역시 연수구,474,14,3,0.63
에어서울 주식회사,(H)운수 및 창고업(49~52),인천광역시 중구,415,12,3,0.72
(주)코텍,(C)제조업(10~34),인천광역시 연수구,393,12,4,1.02
인천기독병원,(Q)보건업 및 사회복지 서비스업(86~87),인천광역시 중구,457,14,5,1.09
(주)동진쎄미켐,(C)제조업(10~34),인천광역시 서구,1157,35,6,0.52
한미반도체(주),(C)제조업(10~34),인천광역시 서구,560,17,4,0.71
주식회사케이에스엠,(C)제조업(10~34),경기도 김포시,342,10,1,0.29
(주)테크로스환경서비스,"(E)수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",경기도 부천시,857,26,10,1.17
(주)인터엠,(C)제조업(10~34),경기도 양주시,346,10,4,1.16
대방건설(주),(F)건설업(41~42),경기도 고양시 일산동구,696,21,2,0.29
광영개발(주),(F)건설업(41~42),경기도 고양시 덕양구,653,20,5,0.77
영전엔지니어링(주),(F)건설업(41~42),경기도 수원시 영통구,521,16,0,0
경희대학교산학협력단,"(M)전문, 과학 및 기술 서비스업(70~73)",경기도 용인시 기흥구,367,11,0,0
케이엘에이텐코코리아(주),"(M)전문, 과학 및 기술 서비스업(70~73)",경기도 화성시(수원),360,11,0,0
(주)녹십자이엠,(F)건설업(41~42),경기도 용인시 기흥구,312,9,0,0
(주)이엔에프테크놀로지,(C)제조업(10~34),경기도 용인시 기흥구,468,14,1,0.21
(주)우주일렉트로닉스,(C)제조업(10~34),경기도 화성시(수원),466,14,1,0.21
도쿄일렉트론코리아(주),(C)제조업(10~34),경기도 화성시(수원),1177,36,3,0.25
성균관대학교산학협력단,(P)교육 서비스업(85),경기도 수원시 장안구,759,23,2,0.26
한국에머슨(주),(C)제조업(10~34),경기도 용인시 수지구,360,11,1,0.28
디아이티(주),(C)제조업(10~34),경기도 화성시(수원),333,10,1,0.3
크린팩토메이션(주),(C)제조업(10~34),경기도 화성시(수원),844,26,3,0.36
신동아건설(주),(F)건설업(41~42),경기도 용인시 기흥구,549,17,2,0.36
(주)제이앤티씨,(C)제조업(10~34),경기도 화성시(수원),448,13,2,0.45
한양이엔지(주),(F)건설업(41~42),경기도 화성시(수원),2235,69,12,0.54
(주)녹십자,(C)제조업(10~34),경기도 용인시 기흥구,2043,63,13,0.64
명인제약(주),(C)제조업(10~34),경기도 화성시(수원),439,13,3,0.68
삼천당제약,(C)제조업(10~34),경기도 화성시(수원),405,12,3,0.74
(주)코디서비스코리아,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",경기도 수원시 장안구,1990,61,15,0.75
휴먼스토리에프에스(주),"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",경기도 수원시 영통구,1008,31,8,0.79
핸즈식스주식회사,(C)제조업(10~34),경기도 화성시(수원),711,22,6,0.84
학교법인 고운학원,(P)교육 서비스업(85),경기도 화성시(화성),941,29,8,0.85
포레시아코리아(주),(C)제조업(10~34),경기도 용인시 수지구,454,14,4,0.88
(주)글로벌스탠다드테크놀로지,(C)제조업(10~34),경기도 화성시(수원),583,18,6,1.03
(주) 광명이엔지,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",경기도 수원시 영통구,327,10,4,1.22
AP시스템(주),(C)제조업(10~34),경기도 화성시(수원),479,14,6,1.25
오토리브(유),(G)도매 및 소매업(45~47),경기도 화성시(수원),730,22,10,1.37
(주)와이비엠넷,(J)정보통신업(58~63),경기도 성남시 분당구,459,14,0,0
(주)마이다스아이티,(J)정보통신업(58~63),경기도 성남시 분당구,378,11,0,0
엔테크서비스 주식회사,(J)정보통신업(58~63),경기도 성남시 분당구,605,18,1,0.17
주성엔지니어링(주),(C)제조업(10~34),경기도 광주시,449,13,1,0.22
모트렉스(주),(C)제조업(10~34),경기도 성남시 분당구,324,10,1,0.31
지이헬스케어코리아(주),(C)제조업(10~34),경기도 성남시 중원구,311,9,1,0.32
어플라이드 머티어리얼즈 코리아(주),(C)제조업(10~34),경기도 성남시 분당구,1495,46,7,0.47
(주)드림텍,(C)제조업(10~34),경기도 성남시 분당구,644,19,3,0.47
(주)신성이엔지,(C)제조업(10~34),경기도 성남시 분당구,761,23,4,0.53
(주)카카오뱅크,(K)금융 및 보험업(64~66),경기도 성남시 분당구,766,23,5,0.65
시너스텍(주),(C)제조업(10~34),경기도 성남시 분당구,401,12,3,0.75
라인플러스주식회사,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",경기도 성남시 분당구,1190,36,9,0.76
비테스코테크놀러지스코리아(주),(C)제조업(10~34),경기도 이천시,1036,32,8,0.77
현대엘리베이터(주),(C)제조업(10~34),경기도 이천시,2667,82,21,0.79
(주)선진,(C)제조업(10~34),경기도 이천시,367,11,3,0.82
(주)시몬스,(C)제조업(10~34),경기도 이천시,421,13,4,0.95
(주)아발론교육,(P)교육 서비스업(85),경기도 성남시 분당구,583,18,6,1.03
에이치디씨 아이콘트롤스(주),(J)정보통신업(58~63),경기도 성남시 분당구,829,25,9,1.09
(주)서희건설,(F)건설업(41~42),경기도 성남시 분당구,1028,31,12,1.17
(주)한국종합기술,"(M)전문, 과학 및 기술 서비스업(70~73)",경기도 성남시 중원구,1308,40,16,1.22
코오롱제약(주),(C)제조업(10~34),경기도 과천시,430,13,1,0.23
(주)이오테크닉스,(C)제조업(10~34),경기도 안양시 동안구,543,16,3,0.55
학교법인연성학원,(P)교육 서비스업(85),경기도 안양시 만안구,310,9,2,0.65
코오롱글로벌,"(M)전문, 과학 및 기술 서비스업(70~73)",경기도 과천시,3125,96,26,0.83
(주)씨아이로지스,(H)운수 및 창고업(49~52),경기도 군포시,534,16,5,0.94
동부엔지니어링,"(M)전문, 과학 및 기술 서비스업(70~73)",경기도 안양시 만안구,520,16,5,0.96
광명성애병원,(Q)보건업 및 사회복지 서비스업(86~87),경기도 광명시,646,20,7,1.08
코오롱베니트(주),(J)정보통신업(58~63),경기도 과천시,545,16,6,1.1
(주)다원녹화건설,(F)건설업(41~42),경기도 과천시,341,10,4,1.17
(주)코스트코 코리아,(G)도매 및 소매업(45~47),경기도 광명시,5209,161,75,1.44
미원상사(주),(C)제조업(10~34),경기도 안산시 단원구,535,16,4,0.75
신신제약(주),(C)제조업(10~34),경기도 안산시 단원구,321,9,3,0.93
대원산업(주),(C)제조업(10~34),경기도 안산시 단원구,545,16,7,1.28
(주)한양세미텍,(C)제조업(10~34),경기도 오산시,351,10,1,0.28
티디케이한국(주),(C)제조업(10~34),경기도 평택시,320,9,2,0.63
(주)경동나비엔,(C)제조업(10~34),경기도 평택시,1144,35,8,0.7
(주)디에이피,(C)제조업(10~34),경기도 안성시,1032,31,11,1.07
(주)팜스코,(C)제조업(10~34),경기도 안성시,397,12,5,1.26
한국엔에스케이(주),(C)제조업(10~34),경상남도 창원시 성산구,645,19,3,0.47
주식회사 KHPT,"(M)전문, 과학 및 기술 서비스업(70~73)",경상남도 창원시 의창구,310,9,2,0.65
(주)율곡,(C)제조업(10~34),경상남도 창원시 성산구,540,16,5,0.93
한국전기연구원,"(M)전문, 과학 및 기술 서비스업(70~73)",경상남도 창원시 성산구,628,21,7,1.11
울산대학교산학협력단,(P)교육 서비스업(85),울산광역시 남구,413,12,2,0.48
창일개발주식회사,(F)건설업(41~42),울산광역시 남구,391,12,2,0.51
(주)GS엔텍,(C)제조업(10~34),울산광역시 남구,325,10,2,0.62
케이유엠 유한책임회사,(C)제조업(10~34),울산광역시 울주군,793,24,6,0.76
(주)라한호텔,(I)숙박 및 음식점업(55~56),울산광역시 동구,489,15,4,0.82
학교법인울산공업학원,(P)교육 서비스업(85),울산광역시 남구,4250,131,38,0.89
(주)유벡,(C)제조업(10~34),울산광역시 남구,875,27,8,0.91
(주)세진중공업,(C)제조업(10~34),울산광역시 울주군,307,9,3,0.98
송원산업(주),(C)제조업(10~34),울산광역시 남구,668,20,8,1.2
울산알루미늄주식회사,(C)제조업(10~34),울산광역시 남구,624,19,8,1.28
(주)해피콜,(C)제조업(10~34),경상남도 김해시,366,11,4,1.09
영일,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",경상남도 김해시,755,23,9,1.19
국방기술품질원,"(O)공공 행정, 국방 및 사회보장 행정(84)",경상남도 진주시,970,32,10,1.03
무림페이퍼(주),(C)제조업(10~34),경상남도 진주시,484,15,6,1.24
(주)건화,(C)제조업(10~34),경상남도 거제시,313,9,2,0.64
삼우공영(주),(G)도매 및 소매업(45~47),경상남도 거제시,318,9,3,0.94
광주기독병원,(Q)보건업 및 사회복지 서비스업(86~87),광주광역시 남구,838,25,7,0.84
(주)광주은행,(K)금융 및 보험업(64~66),광주광역시 동구,1553,48,14,0.9
미래에셋컨설팅(주),(I)숙박 및 음식점업(55~56),광주광역시 서구,674,20,7,1.04
(주)평화엔지니어링,"(M)전문, 과학 및 기술 서비스업(70~73)",전라남도 나주시,546,16,6,1.1
중흥건설(주),(F)건설업(41~42),전라남도 나주시,350,10,4,1.14
다스코 주식회사,(C)제조업(10~34),전라남도 화순군,339,10,4,1.18
대한조선(주),(C)제조업(10~34),전라남도 해남군,592,18,6,1.01
백제약품(주),(G)도매 및 소매업(45~47),전라남도 목포시,778,24,9,1.16
진남토건(주),(F)건설업(41~42),전라남도 여수시,328,10,1,0.3
한국유에스지보랄(주),(C)제조업(10~34),전라남도 여수시,330,10,2,0.61
(주)대신기공,(F)건설업(41~42),전라남도 여수시,578,17,7,1.21
재단법인 대전문화재단,"(S)협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",대전광역시 중구,70,2,0,0
원창건설(주),(F)건설업(41~42),대전광역시 유성구,759,23,3,0.4
기초과학연구원,"(M)전문, 과학 및 기술 서비스업(70~73)",대전광역시 유성구,906,30,5,0.55
학교법인우송학원,(P)교육 서비스업(85),대전광역시 동구,998,30,7,0.7
로버트보쉬코리아유한회사,(C)제조업(10~34),대전광역시 대덕구,1263,39,12,0.95
한국유나이티드제약(주),(C)제조업(10~34),세종특별자치시세종특별자치시,869,26,9,1.04
제일사료주식회사,(C)제조업(10~34),대전광역시 대덕구,369,11,4,1.08
대전대학교 산학협력단,"(N)사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",대전광역시 동구,429,13,5,1.17
코웨이(주),(G)도매 및 소매업(45~47),충청남도 공주시,4884,151,62,1.27
산업연구원,"(M)전문, 과학 및 기술 서비스업(70~73)",세종특별자치시세종특별자치시,235,7,3,1.28
한국지질자원연구원,"(M)전문, 과학 및 기술 서비스업(70~73)",대전광역시 유성구,782,26,12,1.53
국방과학연구소,"(M)전문, 과학 및 기술 서비스업(70~73)",대전광역시 유성구,3466,117,56,1.62
